id,starting_pos,player_a,player_b,time_a,time_b,result
0,35662,Titan,Ruler,60000,60000,1
1,35662,Ruler,Titan,60000,60000,1
2,35661,Titan,Ruler,60000,60000,1
3,35661,Ruler,Titan,60000,60000,1
4,35663,Titan,Ruler,60000,60000,1
5,35663,Ruler,Titan,60000,60000,-1
6,35658,Titan,Ruler,60000,60000,1
7,35658,Ruler,Titan,60000,60000,-1
8,35219,Titan,Ruler,60000,60000,-1
9,35221,Titan,Ruler,60000,60000,-1
10,35266,Titan,Ruler,60000,60000,-1
11,35447,Titan,Ruler,60000,60000,1
12,35448,Titan,Ruler,60000,60000,1
13,35469,Titan,Ruler,60000,60000,1
14,35471,Titan,Ruler,60000,60000,2
15,35472,Titan,Ruler,60000,60000,2
16,35473,Titan,Ruler,60000,60000,-1
17,35656,Titan,Ruler,60000,60000,1
18,35666,Titan,Ruler,60000,60000,1
19,35667,Titan,Ruler,60000,60000,1
20,35219,Ruler,Titan,60000,60000,-1
21,35221,Ruler,Titan,60000,60000,-1
22,35266,Ruler,Titan,60000,60000,1
23,35447,Ruler,Titan,60000,60000,-1
24,35448,Ruler,Titan,60000,60000,1
25,35469,Ruler,Titan,60000,60000,1
26,35471,Ruler,Titan,60000,60000,-1
27,35472,Ruler,Titan,60000,60000,-1
28,35473,Ruler,Titan,60000,60000,-1
29,35656,Ruler,Titan,60000,60000,-1
30,35666,Ruler,Titan,60000,60000,-1
31,35667,Ruler,Titan,60000,60000,2
